date,open,high,low,close,volume
2016-07-07 18:00:00,10.127,11.649,9.902,11.38,175241.63939423242
2016-07-08 18:00:00,11.37,11.436,10.395,10.902,135106.67105525007
2016-07-09 18:00:00,10.842,11.02,10.736,10.96,22276.63975740996
2016-07-10 18:00:00,10.95,11.087,10.201,10.501,82724.29348097002
2016-07-11 18:00:00,10.501,10.802,10.399,10.528,42574.0156825699
2016-07-12 18:00:00,10.526,10.6,10.425,10.43,18745.822147770003
2016-07-13 18:00:00,10.514,11.79,10.491,11.517,125971.93914941035
2016-07-14 18:00:00,11.466,12.553,11.369,11.96,174559.01488763015
2016-07-15 18:00:00,11.953,12.052,11.67,11.72,39799.27251487992
2016-07-16 18:00:00,11.705,11.737,11.021,11.255,162766.23287406127
2016-07-17 18:00:00,11.255,11.749,11.009,11.084,76357.0683573799
2016-07-18 18:00:00,11.083,12.24,11.041,11.658,215752.89103258032
2016-07-19 18:00:00,11.615,13.037,11.553,12.451,473086.03008493915
2016-07-20 18:00:00,12.451,12.75,12.028,12.631,154832.25988355099
2016-07-21 18:00:00,12.631,15.146,12.53,14.62,462465.3383904246
2016-07-22 18:00:00,14.601,14.85,13.9,14.26,190408.76079429034
2016-07-23 18:00:00,14.25,14.439,12.168,12.771,474125.6103241771
2016-07-24 18:00:00,12.771,13.82,12.685,13.782,216655.35443348042
2016-07-25 18:00:00,13.782,13.86,11.775,11.804,419861.88934466883
2016-07-26 18:00:00,11.808,13.4,11.808,13.0,348220.5312504301
2016-07-27 18:00:00,13.0,13.015,12.54,12.834,86518.76034435947
2016-07-28 18:00:00,12.87,12.944,12.6,12.86,54379.01322550984
2016-07-29 18:00:00,12.85,12.867,12.411,12.431,51579.83771010997
2016-07-30 18:00:00,12.465,12.552,11.303,11.876,120132.76130185988
2016-07-31 18:00:00,11.87,12.041,10.902,10.983,118734.67743493053
2016-08-01 18:00:00,10.98,11.198,9.9,10.165,257926.05614034025
2016-08-09 18:00:00,11.0,12.33,11.0,11.92,137979.0421352399
2016-08-10 18:00:00,11.93,12.1,11.569,11.71,101343.55407769037
2016-08-11 18:00:00,11.71,11.99,11.565,11.69,75096.21691571047
2016-08-12 18:00:00,11.69,11.76,11.4,11.49,40660.83254658004
2016-08-13 18:00:00,11.49,11.67,11.003,11.16,52993.28153931995
2016-08-14 18:00:00,11.092,11.28,10.883,11.13,43786.13180654994
2016-08-15 18:00:00,11.13,11.17,10.832,11.022,21051.648422879985
2016-08-16 18:00:00,11.07,11.07,10.65,10.708,130249.21741962997
2016-08-17 18:00:00,10.704,10.97,10.657,10.69,46372.11845790992
2016-08-18 18:00:00,10.69,10.76,10.61,10.68,40367.28501333996
2016-08-19 18:00:00,10.68,11.301,10.68,11.236,55485.100408189974
2016-08-20 18:00:00,11.236,11.252,10.926,11.135,14545.723081910004
2016-08-21 18:00:00,11.199,11.358,11.004,11.087,23531.702755020004
2016-08-22 18:00:00,11.145,11.28,10.896,11.022,18375.13975650999
2016-08-23 18:00:00,11.022,11.195,10.961,11.055,10795.628397649987
2016-08-24 18:00:00,11.059,11.392,10.972,11.301,23704.62476134001
2016-08-25 18:00:00,11.304,11.42,11.134,11.217,8589.62085501
2016-08-26 18:00:00,11.259,11.259,11.113,11.113,2632.4548195600005
2016-08-27 18:00:00,11.156,11.156,10.922,10.932,11225.202298770004
2016-08-28 18:00:00,10.932,11.181,10.781,10.962,17631.45554742
2016-08-29 18:00:00,11.033,11.389,10.935,11.29,12061.557910600002
2016-08-30 18:00:00,11.28,11.678,11.17,11.663,12192.010506230004
2016-08-31 18:00:00,11.605,12.598,11.605,12.067,24433.32259648001
2016-09-01 18:00:00,12.0,12.38,11.912,12.298,16942.883059320004
2016-09-02 18:00:00,12.25,12.427,11.645,11.94,25026.77009739999
2016-09-03 18:00:00,11.974,12.03,11.6,11.737,15892.239417220015
2016-09-04 18:00:00,11.725,11.92,11.65,11.812,10047.469958260004
2016-09-05 18:00:00,11.882,11.919,11.452,11.773,23980.157503199982
2016-09-06 18:00:00,11.721,11.82,11.6,11.611,7838.207842840003
2016-09-07 18:00:00,11.612,11.964,11.264,11.492,21968.897489670006
2016-09-08 18:00:00,11.477,11.9,11.458,11.72,57640.93953735989
2016-09-09 18:00:00,11.72,12.298,11.58,12.263,26380.363652959964
2016-09-10 18:00:00,12.241,12.28,11.6,11.672,42090.28253306991
2016-09-11 18:00:00,11.682,12.058,11.632,12.058,27046.82533179998
2016-09-12 18:00:00,11.92,12.55,11.864,12.018,150229.27694146024
2016-09-13 18:00:00,11.961,12.332,11.91,11.944,39415.317033449974
2016-09-14 18:00:00,11.942,12.413,11.907,12.158,79094.39114046005
2016-09-15 18:00:00,12.051,12.822,11.99,12.612,55580.08553946995
2016-09-16 18:00:00,12.624,12.869,12.511,12.8,10684.991370039997
2016-09-17 18:00:00,12.73,13.101,12.26,12.45,105204.01420146013
2016-09-18 18:00:00,12.447,13.229,12.394,13.22,32219.183780650023
2016-09-19 18:00:00,13.22,15.4,13.076,14.258,95662.62610463974
2016-09-20 18:00:00,14.243,14.377,13.162,13.76,65920.10580004989
2016-09-21 18:00:00,13.76,13.761,12.47,13.327,78260.30537526016
2016-09-22 18:00:00,13.243,13.502,13.099,13.364,7568.711525079995
2016-09-23 18:00:00,13.316,13.469,12.712,12.861,22159.430983730028
2016-09-24 18:00:00,12.835,13.196,12.774,13.08,11475.110491829992
2016-09-25 18:00:00,13.08,13.16,12.81,12.864,18126.64033017
2016-09-26 18:00:00,12.941,13.267,12.85,13.084,20579.28996010013
2016-09-27 18:00:00,13.084,13.487,13.044,13.25,17203.24245816
2016-09-28 18:00:00,13.324,13.329,13.061,13.061,16027.348994719992
2016-09-29 18:00:00,13.06,13.43,13.05,13.291,12304.737932260005
2016-09-30 18:00:00,13.22,13.33,13.048,13.179,13543.214924300004
2016-10-01 18:00:00,13.188,13.327,13.002,13.16,14820.897220929997
2016-10-02 18:00:00,13.221,13.5,13.17,13.387,7757.526895639994
2016-10-03 18:00:00,13.445,13.5,13.22,13.27,19050.049915480038
2016-10-04 18:00:00,13.27,13.392,13.022,13.022,19263.65654639999
2016-10-05 18:00:00,13.021,13.146,12.624,12.84,17170.86047456999
2016-10-06 18:00:00,12.82,13.0,12.56,12.69,21520.212397839972
2016-10-07 18:00:00,12.73,12.758,12.0,12.21,37635.16278131014
2016-10-08 18:00:00,12.208,12.557,11.99,12.012,47640.02502464993
2016-10-09 18:00:00,12.027,12.09,11.6,11.732,85328.67261168922
2016-10-10 18:00:00,11.731,12.33,11.731,11.823,35303.01627023004
2016-10-11 18:00:00,11.752,12.055,11.678,11.925,39723.48336070001
2016-10-12 18:00:00,11.905,12.12,11.811,11.988,17312.784801489957
2016-10-13 18:00:00,12.021,12.1,11.9,11.93,6621.1858799999945
2016-10-14 18:00:00,11.96,12.049,11.83,12.01,11556.235108060006
2016-10-15 18:00:00,11.963,12.06,11.92,12.02,6744.582579259999
2016-10-16 18:00:00,11.945,12.03,11.811,12.001,24912.590855689978
2016-10-17 18:00:00,11.982,12.91,11.981,12.611,68021.12570028014
2016-10-18 18:00:00,12.56,12.623,11.95,11.988,37242.07245130005
2016-10-19 18:00:00,12.037,12.316,12.03,12.151,24840.599996069963
2016-10-20 18:00:00,12.151,12.2,12.087,12.196,8457.629999019993
2016-10-21 18:00:00,12.129,12.374,12.082,12.186,5890.231569459997
2016-10-22 18:00:00,12.25,12.263,11.991,12.07,9265.187034500012
2016-10-23 18:00:00,12.05,12.23,11.981,11.981,13888.00893128
2016-10-24 18:00:00,11.981,11.999,11.122,11.469,32131.52241412998
2016-10-25 18:00:00,11.498,11.724,11.451,11.52,21338.799173070016
2016-10-26 18:00:00,11.52,11.67,11.231,11.503,31394.94161871998
